[ 2021-03-14 15:08:39,893 ] Asset loading complete
[ 2021-03-14 15:10:37,526 ] News query failed: "Unrecognized event news."
[ 2021-03-14 15:10:39,065 ] Request connection to gameserver  "tcp://127.0.0.1:7172"  (unprotected:  "tcp://127.0.0.1:7172" )  requested (Charakter "Rhugar" )
[ 2021-03-14 15:10:39,187 ] Request connection to gameserver  "tcp://127.0.0.1:7172" "Deletera"
[ 2021-03-14 15:10:39,199 ] Connected to gameserver  "tcp://127.0.0.1:7172" "Deletera"
[ 2021-03-14 15:14:13,307 ] Asset loading complete
[ 2021-03-14 15:14:18,824 ] News query failed: "Unrecognized event news."
[ 2021-03-14 15:14:21,548 ] Request connection to gameserver  "tcp://127.0.0.1:7172"  (unprotected:  "tcp://127.0.0.1:7172" )  requested (Charakter "Saruman" )
[ 2021-03-14 15:14:21,659 ] Request connection to gameserver  "tcp://127.0.0.1:7172" "Deletera"
[ 2021-03-14 15:14:21,671 ] Connected to gameserver  "tcp://127.0.0.1:7172" "Deletera"
[ 2021-03-14 15:14:21,777 ] Connection to gameserver  "tcp://127.0.0.1:7172" "Deletera"  was disconnected ( "The remote host closed the connection" )
[ 2021-03-14 15:14:21,827 ] Disconnected from gameserver
[ 2021-03-14 15:14:22,613 ] News query failed: "Unrecognized event news."
[ 2021-03-14 15:14:36,866 ] News query failed: "Unrecognized event news."
[ 2021-03-14 15:14:37,407 ] Request connection to gameserver  "tcp://127.0.0.1:7172"  (unprotected:  "tcp://127.0.0.1:7172" )  requested (Charakter "Rook Sample" )
[ 2021-03-14 15:14:37,427 ] Request connection to gameserver  "tcp://127.0.0.1:7172" "Deletera"
[ 2021-03-14 15:14:37,444 ] Connected to gameserver  "tcp://127.0.0.1:7172" "Deletera"
[ 2021-03-14 15:14:37,683 ] Connection to gameserver  "tcp://127.0.0.1:7172" "Deletera"  was disconnected ( "The remote host closed the connection" )
[ 2021-03-14 15:14:37,692 ] Disconnected from gameserver
[ 2021-03-14 15:14:38,281 ] Didn't send news query with params ( 0 0 ) (URL: QUrl("http://127.0.0.1/login.php") ) due to too many retries.
[ 2021-03-14 15:14:38,367 ] Didn't send news query with params ( 0 0 ) (URL: QUrl("http://127.0.0.1/login.php") ) due to too many retries.
[ 2021-03-14 15:14:38,799 ] Request connection to gameserver  "tcp://127.0.0.1:7172"  (unprotected:  "tcp://127.0.0.1:7172" )  requested (Charakter "Paladin Sample" )
[ 2021-03-14 15:14:38,807 ] Request connection to gameserver  "tcp://127.0.0.1:7172" "Deletera"
[ 2021-03-14 15:14:38,824 ] Connected to gameserver  "tcp://127.0.0.1:7172" "Deletera"
[ 2021-03-14 15:14:38,875 ] Connection to gameserver  "tcp://127.0.0.1:7172" "Deletera"  was disconnected ( "The remote host closed the connection" )
[ 2021-03-14 15:14:38,884 ] Disconnected from gameserver
[ 2021-03-14 15:14:39,765 ] Didn't send news query with params ( 0 0 ) (URL: QUrl("http://127.0.0.1/login.php") ) due to too many retries.
[ 2021-03-14 15:14:40,144 ] Request connection to gameserver  "tcp://127.0.0.1:7172"  (unprotected:  "tcp://127.0.0.1:7172" )  requested (Charakter "Paladin Sample" )
[ 2021-03-14 15:14:40,156 ] Request connection to gameserver  "tcp://127.0.0.1:7172" "Deletera"
[ 2021-03-14 15:14:40,167 ] Connected to gameserver  "tcp://127.0.0.1:7172" "Deletera"
[ 2021-03-14 15:14:40,173 ] Connection to gameserver  "tcp://127.0.0.1:7172" "Deletera"  was disconnected ( "The remote host closed the connection" )
[ 2021-03-14 15:14:40,180 ] Disconnected from gameserver
[ 2021-03-14 15:14:41,111 ] Didn't send news query with params ( 0 0 ) (URL: QUrl("http://127.0.0.1/login.php") ) due to too many retries.
[ 2021-03-14 15:14:41,416 ] Request connection to gameserver  "tcp://127.0.0.1:7172"  (unprotected:  "tcp://127.0.0.1:7172" )  requested (Charakter "Paladin Sample" )
[ 2021-03-14 15:14:41,433 ] Request connection to gameserver  "tcp://127.0.0.1:7172" "Deletera"
[ 2021-03-14 15:14:41,452 ] Connected to gameserver  "tcp://127.0.0.1:7172" "Deletera"
[ 2021-03-14 15:14:41,486 ] Connection to gameserver  "tcp://127.0.0.1:7172" "Deletera"  was disconnected ( "The remote host closed the connection" )
[ 2021-03-14 15:14:41,505 ] Disconnected from gameserver
[ 2021-03-14 15:14:42,390 ] Didn't send news query with params ( 0 0 ) (URL: QUrl("http://127.0.0.1/login.php") ) due to too many retries.
[ 2021-03-14 15:14:42,817 ] Request connection to gameserver  "tcp://127.0.0.1:7172"  (unprotected:  "tcp://127.0.0.1:7172" )  requested (Charakter "Paladin Sample" )
[ 2021-03-14 15:14:42,832 ] Request connection to gameserver  "tcp://127.0.0.1:7172" "Deletera"
[ 2021-03-14 15:14:42,843 ] Connected to gameserver  "tcp://127.0.0.1:7172" "Deletera"
[ 2021-03-14 15:14:42,883 ] Connection to gameserver  "tcp://127.0.0.1:7172" "Deletera"  was disconnected ( "The remote host closed the connection" )
[ 2021-03-14 15:14:42,899 ] Disconnected from gameserver
[ 2021-03-14 15:14:43,789 ] Didn't send news query with params ( 0 0 ) (URL: QUrl("http://127.0.0.1/login.php") ) due to too many retries.
[ 2021-03-14 15:14:45,292 ] Request connection to gameserver  "tcp://127.0.0.1:7172"  (unprotected:  "tcp://127.0.0.1:7172" )  requested (Charakter "Paladin Sample" )
[ 2021-03-14 15:14:45,293 ] Request connection to gameserver  "tcp://127.0.0.1:7172" "Deletera"
[ 2021-03-14 15:14:45,323 ] Connected to gameserver  "tcp://127.0.0.1:7172" "Deletera"
[ 2021-03-14 15:14:45,373 ] Connection to gameserver  "tcp://127.0.0.1:7172" "Deletera"  was disconnected ( "The remote host closed the connection" )
[ 2021-03-14 15:14:45,384 ] Disconnected from gameserver
[ 2021-03-14 15:14:46,244 ] Didn't send news query with params ( 0 0 ) (URL: QUrl("http://127.0.0.1/login.php") ) due to too many retries.
[ 2021-03-14 15:16:03,607 ] Didn't send news query with params ( 0 0 ) (URL: QUrl("http://127.0.0.1/login.php") ) due to too many retries.
[ 2021-03-14 15:16:04,282 ] Request connection to gameserver  "tcp://127.0.0.1:7172"  (unprotected:  "tcp://127.0.0.1:7172" )  requested (Charakter "Paladin Sample" )
[ 2021-03-14 15:16:04,289 ] Request connection to gameserver  "tcp://127.0.0.1:7172" "Deletera"
[ 2021-03-14 15:16:04,306 ] Connected to gameserver  "tcp://127.0.0.1:7172" "Deletera"
[ 2021-03-14 15:16:04,477 ] Connection to gameserver  "tcp://127.0.0.1:7172" "Deletera"  was disconnected ( "The remote host closed the connection" )
[ 2021-03-14 15:16:04,485 ] Disconnected from gameserver
[ 2021-03-14 15:16:05,261 ] Didn't send news query with params ( 0 0 ) (URL: QUrl("http://127.0.0.1/login.php") ) due to too many retries.
[ 2021-03-14 15:16:11,440 ] Didn't send news query with params ( 0 0 ) (URL: QUrl("http://127.0.0.1/login.php") ) due to too many retries.
[ 2021-03-14 15:16:11,890 ] Request connection to gameserver  "tcp://127.0.0.1:7172"  (unprotected:  "tcp://127.0.0.1:7172" )  requested (Charakter "Paladin Sample" )
[ 2021-03-14 15:16:11,901 ] Request connection to gameserver  "tcp://127.0.0.1:7172" "Deletera"
[ 2021-03-14 15:16:11,918 ] Connected to gameserver  "tcp://127.0.0.1:7172" "Deletera"
[ 2021-03-14 15:16:12,037 ] Connection to gameserver  "tcp://127.0.0.1:7172" "Deletera"  was disconnected ( "The remote host closed the connection" )
[ 2021-03-14 15:16:12,061 ] Disconnected from gameserver
[ 2021-03-14 15:16:12,874 ] Didn't send news query with params ( 0 0 ) (URL: QUrl("http://127.0.0.1/login.php") ) due to too many retries.
[ 2021-03-14 15:16:37,696 ] Didn't send news query with params ( 0 0 ) (URL: QUrl("http://127.0.0.1/login.php") ) due to too many retries.
[ 2021-03-14 15:16:39,499 ] Request connection to gameserver  "tcp://127.0.0.1:7172"  (unprotected:  "tcp://127.0.0.1:7172" )  requested (Charakter "Saruman" )
